gisaid_epi_isl	analysis_location	included_in_analysis	date
EPI_ISL_417538	iceland	yes	2020-03-17
EPI_ISL_417539	iceland	yes	2020-03-16
EPI_ISL_417782	iceland	yes	2020-03-11
EPI_ISL_417540	iceland	yes	2020-03-17
EPI_ISL_417541	iceland	yes	2020-03-17
EPI_ISL_417542	iceland	yes	2020-03-17
EPI_ISL_417543	iceland	yes	2020-03-17
EPI_ISL_417544	iceland	yes	2020-03-17
EPI_ISL_417545	iceland	yes	2020-03-17
EPI_ISL_417546	iceland	yes	2020-03-17
EPI_ISL_417547	iceland	yes	2020-03-17
EPI_ISL_417784	iceland	yes	2020-03-12
EPI_ISL_417785	iceland	yes	2020-03-12
EPI_ISL_417786	iceland	yes	2020-03-12
EPI_ISL_417714	iceland	yes	2020-03-12
EPI_ISL_417713	iceland	yes	2020-03-12
EPI_ISL_417771	iceland	yes	2020-03-12
EPI_ISL_417735	iceland	yes	2020-03-12
EPI_ISL_417696	iceland	yes	2020-03-12
EPI_ISL_417790	iceland	yes	2020-03-12
EPI_ISL_417795	iceland	yes	2020-03-13
EPI_ISL_417741	iceland	yes	2020-03-13
EPI_ISL_417797	iceland	yes	2020-03-13
EPI_ISL_417801	iceland	yes	2020-03-13
EPI_ISL_417745	iceland	yes	2020-03-13
EPI_ISL_417802	iceland	yes	2020-03-13
EPI_ISL_417737	iceland	yes	2020-03-15
EPI_ISL_417805	iceland	yes	2020-03-13
EPI_ISL_417806	iceland	yes	2020-03-13
EPI_ISL_417689	iceland	yes	2020-03-13
EPI_ISL_417725	iceland	yes	2020-03-14
EPI_ISL_417772	iceland	yes	2020-03-14
EPI_ISL_417808	iceland	yes	2020-03-15
EPI_ISL_417809	iceland	yes	2020-03-15
EPI_ISL_417810	iceland	yes	2020-03-13
EPI_ISL_417755	iceland	yes	2020-03-13
EPI_ISL_417548	iceland	yes	2020-03-17
EPI_ISL_417549	iceland	yes	2020-03-14
EPI_ISL_417712	iceland	yes	2020-03-15
EPI_ISL_417716	iceland	yes	2020-03-16
EPI_ISL_417774	iceland	yes	2020-03-16
EPI_ISL_417812	iceland	yes	2020-03-14
EPI_ISL_417680	iceland	yes	2020-03-15
EPI_ISL_417703	iceland	yes	2020-03-16
EPI_ISL_417753	iceland	yes	2020-03-16
EPI_ISL_417814	iceland	yes	2020-03-16
EPI_ISL_417678	iceland	yes	2020-03-16
EPI_ISL_417815	iceland	yes	2020-03-16
EPI_ISL_417551	iceland	yes	2020-03-16
EPI_ISL_417816	iceland	yes	2020-03-16
EPI_ISL_417709	iceland	yes	2020-03-16
EPI_ISL_417819	iceland	yes	2020-03-15
EPI_ISL_417822	iceland	yes	2020-03-16
EPI_ISL_417742	iceland	yes	2020-03-16
EPI_ISL_417552	iceland	yes	2020-03-16
EPI_ISL_417824	iceland	yes	2020-03-16
EPI_ISL_417750	iceland	yes	2020-03-16
EPI_ISL_417826	iceland	yes	2020-03-16
EPI_ISL_417827	iceland	yes	2020-03-16
EPI_ISL_417699	iceland	yes	2020-03-16
EPI_ISL_417733	iceland	yes	2020-03-16
EPI_ISL_417766	iceland	yes	2020-03-16
EPI_ISL_417763	iceland	yes	2020-03-16
EPI_ISL_417830	iceland	yes	2020-03-16
EPI_ISL_417752	iceland	yes	2020-03-16
EPI_ISL_417833	iceland	yes	2020-03-16
EPI_ISL_417835	iceland	yes	2020-03-16
EPI_ISL_417553	iceland	yes	2020-03-16
EPI_ISL_417836	iceland	yes	2020-03-16
EPI_ISL_417838	iceland	yes	2020-03-16
EPI_ISL_417839	iceland	yes	2020-03-16
EPI_ISL_417555	iceland	yes	2020-03-17
EPI_ISL_417556	iceland	yes	2020-03-17
EPI_ISL_417557	iceland	yes	2020-03-17
EPI_ISL_417558	iceland	yes	2020-03-17
EPI_ISL_417559	iceland	yes	2020-03-17
EPI_ISL_417560	iceland	yes	2020-03-17
EPI_ISL_417564	iceland	yes	2020-03-17
EPI_ISL_417566	iceland	yes	2020-03-17
EPI_ISL_417568	iceland	yes	2020-03-17
EPI_ISL_417569	iceland	yes	2020-03-17
EPI_ISL_417571	iceland	yes	2020-03-17
EPI_ISL_417572	iceland	yes	2020-03-17
EPI_ISL_417573	iceland	yes	2020-03-16
EPI_ISL_417575	iceland	yes	2020-03-17
EPI_ISL_417577	iceland	yes	2020-03-17
EPI_ISL_417579	iceland	yes	2020-03-17
EPI_ISL_417580	iceland	yes	2020-03-17
EPI_ISL_417583	iceland	yes	2020-03-17
EPI_ISL_417586	iceland	yes	2020-03-17
EPI_ISL_417588	iceland	yes	2020-03-17
EPI_ISL_417590	iceland	yes	2020-03-18
EPI_ISL_417592	iceland	yes	2020-03-17
EPI_ISL_417596	iceland	yes	2020-03-17
EPI_ISL_417597	iceland	yes	2020-03-17
EPI_ISL_417598	iceland	yes	2020-03-17
EPI_ISL_417599	iceland	yes	2020-03-17
EPI_ISL_417600	iceland	yes	2020-03-17
EPI_ISL_417601	iceland	yes	2020-03-17
EPI_ISL_417602	iceland	yes	2020-03-17
EPI_ISL_417603	iceland	yes	2020-03-17
EPI_ISL_417604	iceland	yes	2020-03-17
EPI_ISL_417605	iceland	yes	2020-03-17
EPI_ISL_417606	iceland	yes	2020-03-17
EPI_ISL_417607	iceland	yes	2020-03-17
EPI_ISL_417608	iceland	yes	2020-03-17
EPI_ISL_417611	iceland	yes	2020-03-17
EPI_ISL_417612	iceland	yes	2020-03-17
EPI_ISL_417613	iceland	yes	2020-03-17
EPI_ISL_417614	iceland	yes	2020-03-18
EPI_ISL_417619	iceland	yes	2020-03-18
EPI_ISL_417620	iceland	yes	2020-03-18
EPI_ISL_417621	iceland	yes	2020-03-18
EPI_ISL_417623	iceland	yes	2020-03-18
EPI_ISL_417624	iceland	yes	2020-03-18
EPI_ISL_417625	iceland	yes	2020-03-18
EPI_ISL_417626	iceland	yes	2020-03-18
EPI_ISL_417627	iceland	yes	2020-03-18
EPI_ISL_417628	iceland	yes	2020-03-18
EPI_ISL_417629	iceland	yes	2020-03-18
EPI_ISL_417630	iceland	yes	2020-03-18
EPI_ISL_417631	iceland	yes	2020-03-18
EPI_ISL_417632	iceland	yes	2020-03-18
EPI_ISL_417633	iceland	yes	2020-03-17
EPI_ISL_417634	iceland	yes	2020-03-18
EPI_ISL_417635	iceland	yes	2020-03-18
EPI_ISL_417636	iceland	yes	2020-03-18
EPI_ISL_417638	iceland	yes	2020-03-18
EPI_ISL_417639	iceland	yes	2020-03-18
EPI_ISL_417640	iceland	yes	2020-03-18
EPI_ISL_417644	iceland	yes	2020-03-18
EPI_ISL_417645	iceland	yes	2020-03-18
EPI_ISL_417646	iceland	yes	2020-03-18
EPI_ISL_417649	iceland	yes	2020-03-18
EPI_ISL_417650	iceland	yes	2020-03-18
EPI_ISL_417651	iceland	yes	2020-03-18
EPI_ISL_417652	iceland	yes	2020-03-18
EPI_ISL_417653	iceland	yes	2020-03-18
EPI_ISL_417655	iceland	yes	2020-03-14
EPI_ISL_417656	iceland	yes	2020-03-14
EPI_ISL_417658	iceland	yes	2020-03-14
EPI_ISL_417659	iceland	yes	2020-03-14
EPI_ISL_417660	iceland	yes	2020-03-14
EPI_ISL_417661	iceland	yes	2020-03-14
EPI_ISL_417664	iceland	yes	2020-03-13
EPI_ISL_417668	iceland	yes	2020-03-15
EPI_ISL_417669	iceland	yes	2020-03-15
EPI_ISL_417670	iceland	yes	2020-03-15
EPI_ISL_417739	iceland	yes	2020-03-13
EPI_ISL_417769	iceland	yes	2020-03-05
EPI_ISL_417684	iceland	yes	2020-03-06
EPI_ISL_417687	iceland	yes	2020-03-06
EPI_ISL_417692	iceland	yes	2020-03-06
EPI_ISL_417854	iceland	yes	2020-03-13
EPI_ISL_417731	iceland	yes	2020-03-06
EPI_ISL_417757	iceland	yes	2020-03-06
EPI_ISL_417856	iceland	yes	2020-03-07
EPI_ISL_417705	iceland	yes	2020-03-07
EPI_ISL_417857	iceland	yes	2020-03-07
EPI_ISL_417723	iceland	yes	2020-03-08
EPI_ISL_417740	iceland	yes	2020-03-15
EPI_ISL_417726	iceland	yes	2020-03-09
EPI_ISL_417674	iceland	yes	2020-03-09
EPI_ISL_417862	iceland	yes	2020-03-09
EPI_ISL_417679	iceland	yes	2020-03-09
EPI_ISL_417864	iceland	yes	2020-03-15
EPI_ISL_417865	iceland	yes	2020-03-09
EPI_ISL_417866	iceland	yes	2020-03-09
EPI_ISL_417729	iceland	yes	2020-03-10
EPI_ISL_417738	iceland	yes	2020-03-10
EPI_ISL_417873	iceland	yes	2020-03-10
EPI_ISL_417876	iceland	yes	2020-03-10
EPI_ISL_417676	iceland	yes	2020-03-16
EPI_ISL_415154	italy	yes	2020-03-01
EPI_ISL_412964	italy	yes	2020-02-25
EPI_ISL_413016	italy	yes	2020-02-28
EPI_ISL_414017	italy	yes	2020-03-04
EPI_ISL_416028	italy	yes	2020-03-03
EPI_ISL_416036	italy	yes	2020-03-05
EPI_ISL_414477	italy	yes	2020-03-01
EPI_ISL_414640	italy	yes	2020-03-01
EPI_ISL_412971	italy	yes	2020-02-25
EPI_ISL_413604	italy	yes	2020-03-03
EPI_ISL_412912	italy	yes	2020-02-25
EPI_ISL_417698	italy	yes	2020-03-10
EPI_ISL_417708	italy	yes	2020-03-11
EPI_ISL_417691	italy	yes	2020-03-11
EPI_ISL_417781	italy	yes	2020-03-11
EPI_ISL_417688	italy	yes	2020-03-01
EPI_ISL_417765	italy	yes	2020-02-27
EPI_ISL_417736	italy	yes	2020-03-01
EPI_ISL_417799	italy	yes	2020-03-13
EPI_ISL_417800	italy	yes	2020-03-02
EPI_ISL_417807	italy	yes	2020-03-02
EPI_ISL_417775	italy	yes	2020-03-14
EPI_ISL_417758	italy	yes	2020-03-14
EPI_ISL_417811	italy	yes	2020-03-02
EPI_ISL_417700	italy	yes	2020-03-15
EPI_ISL_417817	italy	yes	2020-03-02
EPI_ISL_417695	italy	yes	2020-03-02
EPI_ISL_417828	italy	yes	2020-03-02
EPI_ISL_417829	italy	yes	2020-03-16
EPI_ISL_417734	italy	yes	2020-03-02
EPI_ISL_417840	italy	yes	2020-03-02
EPI_ISL_417747	italy	yes	2020-03-11
EPI_ISL_417841	italy	yes	2020-03-03
EPI_ISL_417767	italy	yes	2020-03-03
EPI_ISL_417694	italy	yes	2020-03-13
EPI_ISL_417776	italy	yes	2020-03-03
EPI_ISL_417702	italy	yes	2020-03-03
EPI_ISL_417843	italy	yes	2020-03-03
EPI_ISL_417697	italy	yes	2020-03-04
EPI_ISL_417681	italy	yes	2020-03-04
EPI_ISL_417751	italy	yes	2020-03-04
EPI_ISL_417718	italy	yes	2020-03-05
EPI_ISL_417852	italy	yes	2020-03-06
EPI_ISL_417749	italy	yes	2020-03-08
EPI_ISL_417728	italy	yes	2020-03-08
EPI_ISL_417860	italy	yes	2020-03-08
EPI_ISL_417861	italy	yes	2020-03-09
EPI_ISL_417863	italy	yes	2020-03-09
EPI_ISL_417867	italy	yes	2020-03-09
EPI_ISL_417868	italy	yes	2020-03-09
EPI_ISL_417870	italy	yes	2020-03-10
EPI_ISL_417730	italy	yes	2020-03-10
EPI_ISL_412973	italy	yes	2020-02-20
EPI_ISL_417418	italy	yes	2020-03-01
EPI_ISL_417419	italy	yes	2020-03-01
EPI_ISL_417421	italy	no	2020-03-01
EPI_ISL_417423	italy	yes	2020-03-01
EPI_ISL_417921	italy	yes	2020-03-01
EPI_ISL_417922	italy	yes	2020-02-28
EPI_ISL_417923	italy	yes	2020-03-04
EPI_ISL_412974	italy	yes	2020-01-29
EPI_ISL_418260	italy	yes	2020-03-16
EPI_ISL_418256	italy	yes	2020-03-14
EPI_ISL_418255	italy	yes	2020-03-14
EPI_ISL_418258	italy	yes	2020-03-14
EPI_ISL_418259	italy	yes	2020-03-14
EPI_ISL_418261	italy	yes	2020-03-17
EPI_ISL_418257	italy	yes	2020-03-17
EPI_ISL_417445	italy	yes	2020-02-24
EPI_ISL_417447	italy	yes	2020-02-24
EPI_ISL_413489	italy	yes	2020-03-03
EPI_ISL_417491	italy	yes	2020-03-03
EPI_ISL_412972	italy	yes	2020-02-27
EPI_ISL_413550	italy	yes	2020-02-27
EPI_ISL_413022	italy	yes	2020-02-29
EPI_ISL_413023	italy	yes	2020-02-29
EPI_ISL_413997	italy	yes	2020-02-26
EPI_ISL_414022	italy	yes	2020-02-27
EPI_ISL_407084	japan	yes	2020-01-25
EPI_ISL_416565	japan	yes	2020-02-15
EPI_ISL_416566	japan	yes	2020-02-15
EPI_ISL_416567	japan	yes	2020-02-15
EPI_ISL_416568	japan	no	2020-02-15
EPI_ISL_416569	japan	no	2020-02-15
EPI_ISL_416570	japan	yes	2020-02-15
EPI_ISL_416571	japan	yes	2020-02-15
EPI_ISL_416572	japan	yes	2020-02-15
EPI_ISL_416573	japan	yes	2020-02-15
EPI_ISL_416574	japan	yes	2020-02-15
EPI_ISL_416575	japan	yes	2020-02-15
EPI_ISL_416576	japan	yes	2020-02-15
EPI_ISL_416577	japan	yes	2020-02-15
EPI_ISL_416578	japan	yes	2020-02-15
EPI_ISL_416579	japan	yes	2020-02-15
EPI_ISL_416580	japan	yes	2020-02-15
EPI_ISL_416581	japan	no	2020-02-15
EPI_ISL_416582	japan	no	2020-02-15
EPI_ISL_416583	japan	yes	2020-02-15
EPI_ISL_416584	japan	yes	2020-02-15
EPI_ISL_416585	japan	yes	2020-02-16
EPI_ISL_416586	japan	no	2020-02-16
EPI_ISL_416587	japan	no	2020-02-16
EPI_ISL_416588	japan	no	2020-02-16
EPI_ISL_416589	japan	yes	2020-02-16
EPI_ISL_416590	japan	yes	2020-02-16
EPI_ISL_416591	japan	yes	2020-02-16
EPI_ISL_416592	japan	yes	2020-02-16
EPI_ISL_416593	japan	yes	2020-02-16
EPI_ISL_416594	japan	yes	2020-02-16
EPI_ISL_416595	japan	no	2020-02-16
EPI_ISL_416596	japan	no	2020-02-16
EPI_ISL_416597	japan	no	2020-02-16
EPI_ISL_416598	japan	no	2020-02-16
EPI_ISL_416599	japan	yes	2020-02-16
EPI_ISL_416600	japan	yes	2020-02-16
EPI_ISL_416601	japan	yes	2020-02-16
EPI_ISL_416602	japan	yes	2020-02-16
EPI_ISL_416603	japan	yes	2020-02-16
EPI_ISL_416604	japan	no	2020-02-16
EPI_ISL_416605	japan	yes	2020-02-16
EPI_ISL_416606	japan	no	2020-02-16
EPI_ISL_416607	japan	no	2020-02-17
EPI_ISL_416608	japan	no	2020-02-17
EPI_ISL_416609	japan	no	2020-02-17
EPI_ISL_416610	japan	no	2020-02-17
EPI_ISL_416611	japan	yes	2020-02-17
EPI_ISL_416612	japan	yes	2020-02-17
EPI_ISL_416613	japan	yes	2020-02-17
EPI_ISL_416614	japan	no	2020-02-17
EPI_ISL_416615	japan	yes	2020-02-17
EPI_ISL_416616	japan	yes	2020-02-17
EPI_ISL_416617	japan	no	2020-02-17
EPI_ISL_416618	japan	yes	2020-02-17
EPI_ISL_416619	japan	yes	2020-02-17
EPI_ISL_416620	japan	yes	2020-02-17
EPI_ISL_416621	japan	no	2020-02-17
EPI_ISL_416622	japan	yes	2020-02-17
EPI_ISL_416623	japan	yes	2020-02-17
EPI_ISL_416624	japan	yes	2020-02-17
EPI_ISL_416625	japan	yes	2020-02-17
EPI_ISL_416626	japan	yes	2020-02-17
EPI_ISL_416627	japan	yes	2020-02-17
EPI_ISL_416628	japan	yes	2020-02-17
EPI_ISL_416629	japan	yes	2020-02-17
EPI_ISL_416630	japan	no	2020-02-17
EPI_ISL_416631	japan	no	2020-02-17
EPI_ISL_416632	japan	yes	2020-02-17
EPI_ISL_416633	japan	yes	2020-02-17
EPI_ISL_416634	japan	no	2020-02-17
EPI_ISL_412968	japan	no	2020-02-10
EPI_ISL_412969	japan	no	2020-02-10
EPI_ISL_408669	japan	yes	2020-01-29
EPI_ISL_410531	japan	yes	2020-01-25
EPI_ISL_410532	japan	yes	2020-01-23
EPI_ISL_416524	japan	yes	2020-03-11
EPI_ISL_416525	japan	yes	2020-03-11
EPI_ISL_413459	japan	no	2020-02-20
EPI_ISL_414511	japan	yes	2020-01
EPI_ISL_408665	japan	yes	2020-01-29
EPI_ISL_408666	japan	yes	2020-01-31
EPI_ISL_408667	japan	yes	2020-01-31
EPI_ISL_418809	japan	yes	2020-02-01
EPI_ISL_415539	japan	yes	2020-03-13
EPI_ISL_414589	minnesota	yes	2020-03-07
EPI_ISL_417192	minnesota	yes	2020-03-12
EPI_ISL_417194	minnesota	yes	2020-03-12
EPI_ISL_417196	minnesota	yes	2020-03-11
EPI_ISL_417198	minnesota	yes	2020-03-12
EPI_ISL_417469	minnesota	yes	2020-03-12
EPI_ISL_417470	minnesota	yes	2020-03-12
EPI_ISL_417471	minnesota	yes	2020-03-12
EPI_ISL_417472	minnesota	yes	2020-03-12
EPI_ISL_417473	minnesota	yes	2020-03-13
EPI_ISL_417474	minnesota	yes	2020-03-12
EPI_ISL_417475	minnesota	yes	2020-03-12
EPI_ISL_417189	minnesota	yes	2020-03-09
EPI_ISL_417476	minnesota	yes	2020-03-12
EPI_ISL_417477	minnesota	yes	2020-03-12
EPI_ISL_417478	minnesota	yes	2020-03-13
EPI_ISL_417479	minnesota	yes	2020-03-12
EPI_ISL_417480	minnesota	yes	2020-03-12
EPI_ISL_417492	minnesota	yes	2020-03-13
EPI_ISL_417493	minnesota	yes	2020-03-13
EPI_ISL_417494	minnesota	yes	2020-03-13
EPI_ISL_417495	minnesota	yes	2020-03-13
EPI_ISL_417191	minnesota	yes	2020-03-10
EPI_ISL_417496	minnesota	yes	2020-03-13
EPI_ISL_417497	minnesota	yes	2020-03-13
EPI_ISL_417498	minnesota	yes	2020-03-13
EPI_ISL_417499	minnesota	yes	2020-03-13
EPI_ISL_417500	minnesota	yes	2020-03-14
EPI_ISL_417501	minnesota	yes	2020-03-14
EPI_ISL_417502	minnesota	yes	2020-03-14
EPI_ISL_417503	minnesota	yes	2020-03-14
EPI_ISL_418196	newyork	yes	2020-03-14
EPI_ISL_418197	newyork	yes	2020-03-15
EPI_ISL_418198	newyork	yes	2020-03-17
EPI_ISL_418199	newyork	yes	2020-03-17
EPI_ISL_418200	newyork	yes	2020-03-17
EPI_ISL_418202	newyork	yes	2020-03-17
EPI_ISL_418203	newyork	yes	2020-03-17
EPI_ISL_418204	newyork	yes	2020-03-17
EPI_ISL_416830	newyork	yes	2020-03-16
EPI_ISL_418968	newyork	yes	2020-03-15
EPI_ISL_418970	newyork	yes	2020-03-16
EPI_ISL_418971	newyork	yes	2020-03-16
EPI_ISL_418972	newyork	yes	2020-03-17
EPI_ISL_418973	newyork	yes	2020-03-17
EPI_ISL_418974	newyork	yes	2020-03-17
EPI_ISL_418975	newyork	yes	2020-03-17
EPI_ISL_416831	newyork	yes	2020-03-16
EPI_ISL_418976	newyork	yes	2020-03-17
EPI_ISL_418977	newyork	yes	2020-03-17
EPI_ISL_418978	newyork	yes	2020-03-17
EPI_ISL_418979	newyork	yes	2020-03-17
EPI_ISL_418980	newyork	yes	2020-03-17
EPI_ISL_416832	newyork	yes	2020-03-16
